R3t,R3p,Et1,Ep,Et2,E
-3.4,-0.9,-7.890732426720206,-7.955529109342024,-9.723045311577152,-51.138613695278764
-3.4,-0.8,-7.890732426720206,-7.945957071729936,-9.61368349607801,-50.900745989056304
-3.4,-0.7,-7.890732426720206,-7.92953764507547,-9.458724294381682,-50.557988732354715
-3.4,-0.6,-7.890732426720206,-7.908075548009947,-9.265546595677733,-50.12870914081577
-3.4,-0.5,-7.890732426720206,-7.883730670204386,-9.043947714264505,-49.63682162237819
-3.4,-0.4,-7.890732426720206,-7.858969125547446,-8.805114898306783,-49.10963290114887
-3.4,-0.3,-7.890732426720206,-7.8362538911169395,-8.560224100772757,-48.574420837219805
-3.4,-0.2,-7.890732426720206,-7.817929971613921,-8.320024568005465,-48.057373932679184
-3.4,-0.1,-7.890732426720206,-7.806068777455948,-8.094191876531113,-47.581986161414534
-3.4,0.0,-7.890732426720206,-7.80199372745119,-7.890732426720206,-47.1669171617832
-3.4,0.1,-7.890732426720206,-7.806068777455948,-7.715913788357284,-46.825429985066876
-3.4,0.2,-7.890732426720206,-7.817929971613921,-7.573694294434972,-46.5647133855382
-3.4,0.3,-7.890732426720206,-7.836254518595524,-7.466186771169305,-46.38634743297007
-3.4,0.4,-7.890732426720206,-7.858969125547446,-7.393845535989385,-46.287094176514074
-3.4,0.5,-7.890732426720206,-7.883730670204386,-7.354771743121091,-46.258469680091366
-3.4,0.6,-7.890732426720206,-7.908075548009947,-7.345278771826997,-46.2881734931143
-3.3,-4.0,-8.094191876531113,-6.200287002837285,-9.571457093290519,-47.731871945317835
-3.3,-3.9,-8.094191876531113,-6.281363804941066,-9.781141442246735,-48.31339424743783
